,city,latitude,longitude,timepoint,main_weather,feels_like,humidity,wind_speed,precipitation,clouds,city_id
0,Mont Saint Michel,48.6359541,-1.511459954959514,1720699200,broken clouds,20.64,69,2.01,0.0,65,25
1,Mont Saint Michel,48.6359541,-1.511459954959514,1720710000,light rain,18.63,76,5.93,1.58,77,25
2,Mont Saint Michel,48.6359541,-1.511459954959514,1720720800,moderate rain,15.81,87,6.7,7.5,88,25
3,Mont Saint Michel,48.6359541,-1.511459954959514,1720731600,moderate rain,12.44,96,4.46,7.8,100,25
4,Mont Saint Michel,48.6359541,-1.511459954959514,1720742400,light rain,10.7,95,3.04,2.44,99,25
5,Mont Saint Michel,48.6359541,-1.511459954959514,1720753200,broken clouds,9.7,94,2.23,0.0,75,25
6,Mont Saint Michel,48.6359541,-1.511459954959514,1720764000,scattered clouds,11.72,88,1.4,0.0,39,25
7,Mont Saint Michel,48.6359541,-1.511459954959514,1720774800,clear sky,16.35,74,2.33,0.0,2,25
8,Mont Saint Michel,48.6359541,-1.511459954959514,1720785600,light rain,18.12,66,4.7,0.14,5,25
9,Mont Saint Michel,48.6359541,-1.511459954959514,1720796400,light rain,17.58,72,5.49,0.14,42,25
10,Mont Saint Michel,48.6359541,-1.511459954959514,1720807200,broken clouds,16.69,78,4.57,0.0,71,25
11,Mont Saint Michel,48.6359541,-1.511459954959514,1720818000,light rain,12.88,94,2.92,0.15,17,25
12,Mont Saint Michel,48.6359541,-1.511459954959514,1720828800,few clouds,11.59,95,2.48,0.0,14,25
13,Mont Saint Michel,48.6359541,-1.511459954959514,1720839600,few clouds,10.98,96,2.43,0.0,18,25
14,Mont Saint Michel,48.6359541,-1.511459954959514,1720850400,few clouds,12.38,91,1.61,0.0,15,25
15,Mont Saint Michel,48.6359541,-1.511459954959514,1720861200,clear sky,16.53,73,1.54,0.0,9,25
16,Mont Saint Michel,48.6359541,-1.511459954959514,1720872000,light rain,18.23,64,4.26,0.15,18,25
17,Mont Saint Michel,48.6359541,-1.511459954959514,1720882800,few clouds,18.49,62,4.4,0.0,12,25
18,Mont Saint Michel,48.6359541,-1.511459954959514,1720893600,clear sky,17.74,66,3.1,0.0,2,25
19,Mont Saint Michel,48.6359541,-1.511459954959514,1720904400,few clouds,12.97,84,2.61,0.0,19,25
20,Mont Saint Michel,48.6359541,-1.511459954959514,1720915200,few clouds,11.69,89,1.79,0.0,14,25
21,Mont Saint Michel,48.6359541,-1.511459954959514,1720926000,clear sky,11.23,90,1.65,0.0,5,25
22,Mont Saint Michel,48.6359541,-1.511459954959514,1720936800,scattered clouds,13.04,84,1.8,0.0,38,25
23,Mont Saint Michel,48.6359541,-1.511459954959514,1720947600,overcast clouds,15.4,76,0.46,0.0,100,25
24,Mont Saint Michel,48.6359541,-1.511459954959514,1720958400,overcast clouds,18.09,70,3.31,0.0,100,25
25,Mont Saint Michel,48.6359541,-1.511459954959514,1720969200,few clouds,21.81,54,2.71,0.0,24,25
26,Mont Saint Michel,48.6359541,-1.511459954959514,1720980000,scattered clouds,21.52,62,3.34,0.0,42,25
27,Mont Saint Michel,48.6359541,-1.511459954959514,1720990800,few clouds,16.03,80,2.76,0.0,19,25
28,Mont Saint Michel,48.6359541,-1.511459954959514,1721001600,few clouds,13.94,85,2.19,0.0,11,25
29,Mont Saint Michel,48.6359541,-1.511459954959514,1721012400,overcast clouds,13.75,84,1.95,0.0,100,25
