city,hotel_name,hotel_url,hotel_GPS,hotel_score,hotel_description,feels_like,humidity,wind_speed,precipitation,clouds,city_id,main_weather,main_weather_scores,clouds_scores,precipitation_scores,windspeed_scores,final_score,lon,lat
Annecy,Séjours & Affaires Annecy Le Pont Neuf,https://www.booking.com/hotel/fr/sejours-affaires-annecy-le-pont-neuf.fr.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9kaWpvbkgNWARoTYgBApgBDbgBGMgBEdgBAegBAfgBA4gCAagCBLgCrcXetAbAAgHSAiRlYzAzNzU3Yy02NThkLTQ4NmMtODc3ZS00YzhlNjg4Yzc1YzbYAgXgAgE&sid=cba41a1ac4daf1280fa535fc1f4ebac5&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-25&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d2d35b629ee00143&srepoch=1721221190&all_sr_blocks=18592001_262906438_2_2_0&highlighted_blocks=18592001_262906438_2_2_0&matching_block_id=18592001_262906438_2_2_0&sr_pri_blocks=18592001_262906438_2_2_0__49150&from=searchresults#hotelTmpl,"45.89719347,6.11080974",7.6,"L'établissement Séjours & Affaires Annecy Le Pont Neuf se situe à 3 km du lac d'Annecy et à 1 km du centre-ville historique. Il se trouve à 45 minutes de route des domaines skiables de La Clusaz et du Grand Bornand.

Les appartements, confortables et pourvus d'une connexion Wi-Fi gratuite et d'équipements modernes, offrent un cadre idéal pour les séjours de courte ou de longue durée. Le petit-déjeuner buffet est servi du lundi au vendredi, moyennant un supplément.

Le Séjours & Affaires Annecy Le Pont Neuf se trouve à Cran-Gevrier, à proximité de commerces, restaurants et transports en commun.

La gare d'Annecy se trouve à 15 minutes à pied. Un parking est proposé moyennant un supplément. Le domaine skiable du Semnoz se situe à 30 minutes de route.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,0 pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",103.9475,400.0,1972.23,1.09625,62.175,4.0,light rain,40,1470,1,5,3986.1775,6.1288847,45.8992348
Annecy,Cosy studio just a stone's throw from the old town,https://www.booking.com/hotel/fr/cosy-studio-just-a-stones-throw-from-the-old-town.fr.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9kaWpvbkgNWARoTYgBApgBDbgBGMgBEdgBAegBAfgBA4gCAagCBLgCrcXetAbAAgHSAiRlYzAzNzU3Yy02NThkLTQ4NmMtODc3ZS00YzhlNjg4Yzc1YzbYAgXgAgE&sid=cba41a1ac4daf1280fa535fc1f4ebac5&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-25&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=d2d35b629ee00143&srepoch=1721221190&all_sr_blocks=1130564702_396388738_2_0_0&highlighted_blocks=1130564702_396388738_2_0_0&matching_block_id=1130564702_396388738_2_0_0&sr_pri_blocks=1130564702_396388738_2_0_0__50504&from=searchresults#hotelTmpl,"45.89706600,6.11356500",9.0,"Offrant une vue sur la ville, le Cosy studio just a stone's throw from the old town propose un hébergement avec balcon, à environ 35 km du lac du Bourget. Il est situé à 40 km du stade de Genève et dispose d'un ascenseur. Cet établissement non-fumeurs se trouve à 34 km de Rochexpo.

Doté d'une connexion Wi-Fi gratuite, cet appartement dispose d'une télévision ainsi que d'une cuisine entièrement équipée avec un micro-ondes et un réfrigérateur.

Vous séjournerez à 44 km du jet d'eau et de la gare de Cornavin. L'aéroport le plus proche, celui de Chambéry-Savoie, est situé à 40 km.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",103.9475,400.0,1972.23,1.09625,62.175,4.0,light rain,40,1470,1,5,3986.1775,6.1288847,45.8992348
Annecy,Appartement Cosy Proche du Lac,https://www.booking.com/hotel/fr/cosy-appart-annecy.fr.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9kaWpvbkgNWARoTYgBApgBDbgBGMgBEdgBAegBAfgBA4gCAagCBLgCrcXetAbAAgHSAiRlYzAzNzU3Yy02NThkLTQ4NmMtODc3ZS00YzhlNjg4Yzc1YzbYAgXgAgE&sid=cba41a1ac4daf1280fa535fc1f4ebac5&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-25&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=d2d35b629ee00143&srepoch=1721221190&all_sr_blocks=1080812801_380656567_0_0_0&highlighted_blocks=1080812801_380656567_0_0_0&matching_block_id=1080812801_380656567_0_0_0&sr_pri_blocks=1080812801_380656567_0_0_0__72828&from=searchresults#hotelTmpl,"45.90800780,6.14060660",9.4,"Offrant une vue sur la montagne, l'Appartement Cosy Proche du Lac est situé à Annecy, à 38 km du stade de Genève et à 41 km du jet d'eau. Doté d'un parking privé gratuit, il se trouve à 32 km de Rochexpo et à 38 km du lac du Bourget. Vous séjournerez à 43 km des Nations Unies et à 44 km de PalExpo.

Cet appartement comprend une chambre, une télévision à écran plat, un lave-linge et une salle de bains pourvue d'une douche à l'italienne. Sa cuisine entièrement équipée comporte un lave-vaisselle et un four. Les serviettes et le linge de lit sont fournis. Cet appartement est non-fumeurs et insonorisé.

Vous séjournerez à 41 km de la gare de Cornavin et de la cathédrale Saint-Pierre. L'aéroport international de Genève, le plus proche, est implanté à 42 km.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",103.9475,400.0,1972.23,1.09625,62.175,4.0,light rain,40,1470,1,5,3986.1775,6.1288847,45.8992348
Annecy,Ben Nevis charming studio in the heart of the lively life of the Pré Carré,https://www.booking.com/hotel/fr/ben-nevis-charmant-studio-au-coeur-de-la-vie-animee-du-pre-carre-proche-lac.fr.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9kaWpvbkgNWARoTYgBApgBDbgBGMgBEdgBAegBAfgBA4gCAagCBLgCrcXetAbAAgHSAiRlYzAzNzU3Yy02NThkLTQ4NmMtODc3ZS00YzhlNjg4Yzc1YzbYAgXgAgE&sid=cba41a1ac4daf1280fa535fc1f4ebac5&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-25&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=d2d35b629ee00143&srepoch=1721221190&all_sr_blocks=939599402_396822440_2_0_0&highlighted_blocks=939599402_396822440_2_0_0&matching_block_id=939599402_396822440_2_0_0&sr_pri_blocks=939599402_396822440_2_0_0__49991&from=searchresults#hotelTmpl,"45.90206380,6.12601720",6.9,"Idéalement situé dans le centre d'Annecy, le Ben Nevis charmant studio au cœur de la vie animée du Pré Carré est un appartement récemment rénové. Il propose gratuitement une connexion Wi-Fi et un parking sur place. Offrant une vue sur la ville, il se trouve à 36 km du lac du Bourget et à 38 km du stade de Genève. Cet établissement non-fumeurs se trouve à 32 km de Rochexpo.

L'appartement comprend une télévision et un salon. La cuisine est équipée d'un four, d'un micro-ondes et d'un grille-pain. La salle de bains privative est pourvue d'un sèche-cheveux et d'articles de toilette gratuits. Pour plus d'intimité, l'hébergement dispose d'une entrée privée.

Vous séjournerez à 41 km du jet d'eau et à 42 km de la gare de Cornavin. L'aéroport de Chambéry-Savoie, le plus proche, est implanté à 42 km.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",103.9475,400.0,1972.23,1.09625,62.175,4.0,light rain,40,1470,1,5,3986.1775,6.1288847,45.8992348
Strasbourg,Aparthotel Adagio Access Strasbourg Petite France,https://www.booking.com/hotel/fr/adagio-access-strasbourg-petite-france.fr.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9kaWpvbkgNWARoTYgBApgBDbgBGMgBEdgBAegBAfgBA4gCAagCBLgCrcXetAbAAgHSAiRlYzAzNzU3Yy02NThkLTQ4NmMtODc3ZS00YzhlNjg4Yzc1YzbYAgXgAgE&sid=cba41a1ac4daf1280fa535fc1f4ebac5&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-25&dest_id=-1471697&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=cbe95b6291e000a6&srepoch=1721221190&all_sr_blocks=36144901_94449395_2_2_0&highlighted_blocks=36144901_94449395_2_2_0&matching_block_id=36144901_94449395_2_2_0&sr_pri_blocks=36144901_94449395_2_2_0__34060&from_sustainable_property_sr=1&from=searchresults,"48.57924766,7.73222588",8.1,"Situé dans le centre-ville, l'Aparthotel Adagio Access Strasbourg Petite France propose une réception ouverte 24h/24, ainsi que des appartements et studios modernes, dotés d'une connexion Wi-Fi gratuite et d'une cuisine entièrement équipée, à 1,5 km de la cathédrale de Strasbourg.

L'hébergement comprend une télévision à écran plat et un téléphone. La salle de bains privative est pourvue d'une douche et d'un sèche-cheveux.

La cuisine est équipée d'un micro-ondes, d'un réfrigérateur et d'une cafetière. Par ailleurs, l'Aparthotel Adagio Access Strasbourg Petite France sert chaque matin un petit-déjeuner buffet dans la salle prévue à cet effet.

Vous séjournerez à 350 mètres du musée d'art moderne et d'art contemporain de Strasbourg ainsi qu'à 10 minutes à pied de la gare. Enfin, un parking privé est disponible sur place, moyennant des frais supplémentaires et sur réservation préalable.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,7 pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",99.06875,397.25,1967.66,0.9315,65.7,32.0,light rain,40,1470,5,5,3973.97875,7.7507127,48.584614
Annecy,Logement de 2 chambres pour 4 personnes,https://www.booking.com/hotel/fr/logement-de-2-chambres-pour-4-personnes-annecy.fr.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9kaWpvbkgNWARoTYgBApgBDbgBGMgBEdgBAegBAfgBA4gCAagCBLgCrcXetAbAAgHSAiRlYzAzNzU3Yy02NThkLTQ4NmMtODc3ZS00YzhlNjg4Yzc1YzbYAgXgAgE&sid=cba41a1ac4daf1280fa535fc1f4ebac5&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-25&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=d2d35b629ee00143&srepoch=1721221190&all_sr_blocks=1207925801_393354465_4_0_0&highlighted_blocks=1207925801_393354465_4_0_0&matching_block_id=1207925801_393354465_4_0_0&sr_pri_blocks=1207925801_393354465_4_0_0__79455&from=searchresults#hotelTmpl,"45.88998180,6.11128830",8.8,"Doté d'une terrasse, le Logement de 2 chambres pour 4 personnes est situé à Annecy, à 36 km du lac du Bourget, à 41 km du stade de Genève et à 44 km du jet d'eau. Vous bénéficierez gratuitement d'un parking privé et d'une connexion Wi-Fi. Cet établissement non-fumeurs se trouve à 35 km de Rochexpo.

Cet appartement comprend 2 chambres séparées ainsi qu'une cuisine entièrement équipée avec un micro-ondes, un grille-pain et un coin repas. Les serviettes et le linge de lit sont fournis. Vous pourrez vous changer dans le dressing de l'appartement.

Si vous voyagez avec des enfants, le Logement de 2 chambres pour 4 personnes dispose d'équipements de jeux extérieurs. Si vous souhaitez découvrir la région, des visites à pied sont possibles dans les environs.

Vous séjournerez à 44 km de la cathédrale Saint-Pierre et de la gare de Cornavin. L'aéroport de Chambéry-Savoie, le plus proche, est implanté à 41 km.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",103.9475,400.0,1972.23,1.09625,62.175,4.0,light rain,40,1470,1,5,3986.1775,6.1288847,45.8992348
Annecy,Premiere Classe Annecy Cran-Gevrier,https://www.booking.com/hotel/fr/premiere-classe-annecy-cran-gevrier.fr.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9kaWpvbkgNWARoTYgBApgBDbgBGMgBEdgBAegBAfgBA4gCAagCBLgCrcXetAbAAgHSAiRlYzAzNzU3Yy02NThkLTQ4NmMtODc3ZS00YzhlNjg4Yzc1YzbYAgXgAgE&sid=cba41a1ac4daf1280fa535fc1f4ebac5&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-25&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=d2d35b629ee00143&srepoch=1721221190&all_sr_blocks=166484902_191424412_2_2_0&highlighted_blocks=166484902_191424412_2_2_0&matching_block_id=166484902_191424412_2_2_0&sr_pri_blocks=166484902_191424412_2_2_0__43300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"45.89543080,6.10984620",5.9,"Doté d’un jardin, le Premiere Classe Annecy Sud vous accueille à Annecy. Pourvu d’une connexion Wi-Fi gratuite, cet hôtel 1 étoile se trouve à 15 minutes à pied du château d'Annecy.

Toutes les chambres disposent d’une télévision par câble à écran plat, d’un bureau et d’une salle de bains privative munie d’un sèche-cheveux.

Un petit-déjeuner continental vous sera servi chaque matin.

Le lac d’Annecy et le centre-ville avec ses boutiques, ses restaurants et son marché vous attendent à moins de 3 km de l’hôtel. Enfin, l’aéroport de Chambéry-Savoie est implanté à 47 km.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",103.9475,400.0,1972.23,1.09625,62.175,4.0,light rain,40,1470,1,5,3986.1775,6.1288847,45.8992348
Annecy,Best Western Hôtel International,https://www.booking.com/hotel/fr/best-western-international.fr.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9kaWpvbkgNWARoTYgBApgBDbgBGMgBEdgBAegBAfgBA4gCAagCBLgCrcXetAbAAgHSAiRlYzAzNzU3Yy02NThkLTQ4NmMtODc3ZS00YzhlNjg4Yzc1YzbYAgXgAgE&sid=cba41a1ac4daf1280fa535fc1f4ebac5&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-25&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=d2d35b629ee00143&srepoch=1721221190&all_sr_blocks=5350133_361606382_2_2_0&highlighted_blocks=5350133_361606382_2_2_0&matching_block_id=5350133_361606382_2_2_0&sr_pri_blocks=5350133_361606382_2_2_0__74250&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"45.89998968,6.11575842",8.1,"Doté d’une salle de sport, le Best Western Hôtel International est situé à l’entrée d’Annecy, à 2 km du centre-ville et du lac d’Annecy. Vous disposerez d’une réception ouverte 24h/24, d’un restaurant et d’un bar sur place. Vous serez à 500 mètres de la gare et à 4 minutes de route de l’autoroute A41.

Les chambres sont insonorisées et climatisées. Les hébergements sont équipés d'une télévision par satellite à écran plat, d'un plateau/bouilloire, d'une connexion Wi-Fi gratuite et d'une salle de bains privative.

L’établissement sert un petit-déjeuner buffet chaque matin dans la salle à manger.

Installé à seulement quelques minutes de marche de la vieille ville, de la cathédrale et du château d’Annecy, l’établissement constitue une base idéale pour partir à la découverte de la ville.

L’établissement dispose d'une salle de sport et d'un espace bien-être avec un sauna et un hammam.

Le parking Chevêne est accessible à 200 mètres de l'hôtel et un parking couvert de 9 places est disponible sur réservation.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,1 pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",103.9475,400.0,1972.23,1.09625,62.175,4.0,light rain,40,1470,1,5,3986.1775,6.1288847,45.8992348
Annecy,Le bohème - Majord'Home - Centre Vieille Ville,https://www.booking.com/hotel/fr/le-boheme-majord-home-centre-vieille-ville.fr.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9kaWpvbkgNWARoTYgBApgBDbgBGMgBEdgBAegBAfgBA4gCAagCBLgCrcXetAbAAgHSAiRlYzAzNzU3Yy02NThkLTQ4NmMtODc3ZS00YzhlNjg4Yzc1YzbYAgXgAgE&sid=cba41a1ac4daf1280fa535fc1f4ebac5&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-25&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=d2d35b629ee00143&srepoch=1721221190&all_sr_blocks=1172232301_389756407_2_0_0&highlighted_blocks=1172232301_389756407_2_0_0&matching_block_id=1172232301_389756407_2_0_0&sr_pri_blocks=1172232301_389756407_2_0_0__50247&from=searchresults#hotelTmpl,"45.89792250,6.12736800",7.9,"Le bohème - Majord'Home - Centre Vieille Ville est situé dans la vieille ville d'Annecy, à 37 km du lac du Bourget, à 42 km du stade de Genève et à 45 km du jet d'eau. L'établissement se trouve à 45 km de la cathédrale Saint-Pierre, à 46 km de la gare de Cornavin et à 47 km des Nations Unies à Genève. L'établissement se trouve à 36 km de Rochexpo et à moins de 300 mètres du centre-ville.

Cet établissement est non-fumeurs.

En été, vous pourrez pratiquer des sports d'hiver dans les environs.

Vous séjournerez à 47 km de la Halle Olympique d'Albertville et de PalExpo. L'aéroport de Chambéry-Savoie, le plus proche, est à 42 km.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",103.9475,400.0,1972.23,1.09625,62.175,4.0,light rain,40,1470,1,5,3986.1775,6.1288847,45.8992348
Annecy,La Parenthèse - Annecy- Grande Terrasse - Chambre - Garage,https://www.booking.com/hotel/fr/la-parenthese-annecy-grande-terrasse-chambre.fr.html?label=gen173nr-1FCAQoggJCDHNlYXJjaF9kaWpvbkgNWARoTYgBApgBDbgBGMgBEdgBAegBAfgBA4gCAagCBLgCrcXetAbAAgHSAiRlYzAzNzU3Yy02NThkLTQ4NmMtODc3ZS00YzhlNjg4Yzc1YzbYAgXgAgE&sid=cba41a1ac4daf1280fa535fc1f4ebac5&aid=304142&ucfs=1&arphpl=1&checkin=2024-07-20&checkout=2024-07-25&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d2d35b629ee00143&srepoch=1721221190&all_sr_blocks=1177720401_395405108_2_0_0&highlighted_blocks=1177720401_395405108_2_0_0&matching_block_id=1177720401_395405108_2_0_0&sr_pri_blocks=1177720401_395405108_2_0_0__61635&from=searchresults#hotelTmpl,"45.89717570,6.11326420",9.0,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement  ! Connectez-vous pour économiser.

Situé à 35 km du lac du Bourget, à 40 km du stade de Genève et à 44 km du jet d'eau, l'établissement La Parenthèse - Annecy- Grande Terrasse - Chambre - Garage propose un hébergement à Annecy. Vous bénéficierez gratuitement d'un parking privé et d'une connexion Wi-Fi. Cet établissement non-fumeurs se trouve à 34 km de Rochexpo.

Cet appartement comprend une chambre, une salle de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la montagne. Les logements comprennent une baignoire et un dressing. L'établissement possède un coin repas extérieur.

Vous séjournerez à 44 km de la cathédrale Saint-Pierre et de la gare de Cornavin. L'aéroport de Chambéry-Savoie, le plus proche, est implanté à 41 km.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",103.9475,400.0,1972.23,1.09625,62.175,4.0,light rain,40,1470,1,5,3986.1775,6.1288847,45.8992348
